iter	Logloss
0	0.6345572899
1	0.5952216189
2	0.5670880729
3	0.5555423628
4	0.5325039918
5	0.5074847923
6	0.4973843105
7	0.491936628
8	0.4871233895
9	0.4816356901
10	0.4704062131
11	0.4670598336
12	0.463045448
13	0.4601143987
14	0.4570162878
15	0.4546426954
16	0.4523854384
17	0.4502676793
18	0.4484454021
19	0.4466554103
20	0.4452661858
21	0.4442808457
22	0.4429007806
23	0.442584202
24	0.4397291747
25	0.4374788387
26	0.433650761
27	0.4260741898
28	0.4250726371
29	0.4236750513
30	0.4200893712
31	0.4194617951
32	0.4185966535
33	0.4179133477
34	0.4170377668
35	0.4163657286
36	0.4159090252
37	0.4152390611
38	0.4144061253
39	0.4127603436
40	0.410883286
41	0.410392768
42	0.4095632916
43	0.4091616262
44	0.4085156994
45	0.4058908542
46	0.4055916696
47	0.4042416128
48	0.4033862559
49	0.4028085931
50	0.4012233005
51	0.3993983945
52	0.3984951806
53	0.3984611537
54	0.3971877716
55	0.396338086
56	0.3955866072
57	0.3947488269
58	0.3897202811
59	0.3888159464
60	0.3871038767
61	0.384186998
62	0.3827398945
63	0.3811116176
64	0.3791502513
65	0.3781037758
66	0.3718829127
67	0.371016024
68	0.3671614878
69	0.3624366956
70	0.3591281044
71	0.3573301671
72	0.3565204905
73	0.3549397571
74	0.3542125652
75	0.3522731573
76	0.3513555989
77	0.3452166175
78	0.3416336923
79	0.3400845991
80	0.3361741264
81	0.3340585273
82	0.3323950155
83	0.3311905823
84	0.3297528068
85	0.3288578108
86	0.3250330655
87	0.3237662949
88	0.32304958
89	0.3224253226
90	0.3203514653
91	0.3197384324
92	0.3189061146
93	0.3175256768
94	0.3154589293
95	0.3143073155
96	0.3135503243
97	0.3123790799
98	0.3115231834
99	0.3106371816
100	0.3096559638
101	0.3080478288
102	0.3068820658
103	0.3058814239
104	0.3049871145
105	0.3039886778
106	0.2989392362
107	0.2975045883
108	0.2943119079
109	0.2935165367
110	0.2923715495
111	0.2918505342
112	0.2911927939
113	0.2905033809
114	0.2894513699
115	0.2876008521
116	0.28667251
117	0.2833334467
118	0.2791517116
119	0.2760695603
120	0.2756101947
121	0.2735255102
122	0.2721980124
123	0.2712829947
124	0.270825358
125	0.2704030362
126	0.2692075674
127	0.2690080187
128	0.2677158681
129	0.2666651274
130	0.2658374236
131	0.2650064347
132	0.2645445955
133	0.2630988643
134	0.2622446943
135	0.261782198
136	0.2613415858
137	0.2603851232
138	0.2599453379
139	0.2595583824
140	0.2590315014
141	0.2584906717
142	0.256982272
143	0.2559455295
144	0.2553864311
145	0.2549910814
146	0.2545096333
147	0.2539411959
148	0.2532537967
149	0.2485666018
150	0.2474643179
151	0.246528295
152	0.2456326783
153	0.2450355081
154	0.2444647185
155	0.2435376933
156	0.2428358483
157	0.2416544026
158	0.2412113575
159	0.2403041325
160	0.2379422971
161	0.237660699
162	0.2367835987
163	0.2347915139
164	0.233617066
165	0.2328923079
166	0.2327006203
167	0.2321147051
168	0.2317196625
169	0.2313287124
170	0.231062424
171	0.2306420138
172	0.2302422615
173	0.2294904755
174	0.2290589494
175	0.2287772564
176	0.2276076918
177	0.2262981228
178	0.2258521242
179	0.2250338189
180	0.2245469511
181	0.2237028684
182	0.223423712
183	0.2223232414
184	0.221894026
185	0.2210501891
186	0.2202821887
187	0.2198576924
188	0.219335872
189	0.2188652303
190	0.2183125907
191	0.2178689563
192	0.2174551093
193	0.2170198204
194	0.216316026
195	0.2158828933
196	0.2152143224
197	0.2144044365
198	0.2140761164
199	0.2130866244
200	0.2126394716
201	0.2124368581
202	0.2114506553
203	0.2106027283
204	0.2102651073
205	0.2097947489
206	0.2091912318
207	0.209013875
208	0.2086371273
209	0.2080668517
210	0.2075420128
211	0.2062162309
212	0.2052559071
213	0.2047141144
214	0.2042416879
215	0.2040617223
216	0.2031084132
217	0.202923361
218	0.2013567275
219	0.2010841223
220	0.2007896856
221	0.2000748728
222	0.199401246
223	0.198678225
224	0.198460935
225	0.1981282906
226	0.197323108
227	0.1971250021
228	0.19630561
229	0.1959344963
230	0.1949823509
231	0.194549752
232	0.1941475581
233	0.1937218314
234	0.1932523589
235	0.1930104822
236	0.1925275384
237	0.1919135372
238	0.1915340471
239	0.1909840916
240	0.1905098689
241	0.1902164104
242	0.1897596188
243	0.1894865164
244	0.1891050828
245	0.187992728
246	0.1874755464
247	0.1868800045
248	0.1865450349
249	0.1859216242
